epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.1649,1.68163,10.886,1.46501,0.74002,0.71915,0.71255,0.37444,1.59106,1.75427,1.38111,0.0029,0.0029,0.0029
2,36.8492,1.37696,1.41909,1.15315,0.8087,0.80101,0.85712,0.45866,1.68074,1.06808,1.2153,0.00589416,0.00589416,0.00589416
3,52.3617,1.4249,1.439,1.12709,0.76129,0.85263,0.8744,0.55172,1.53175,7.81102,1.32025,0.00888238,0.00888238,0.00888238
4,68.0938,1.5485,1.51951,1.15603,0.09642,0.89474,0.50834,0.29789,1.56496,359.409,1.2392,0.0099703,0.0099703,0.0099703
5,83.7469,1.52358,1.65058,1.20194,0.77778,0.66316,0.73054,0.43867,1.57761,515.393,1.43471,0.0099604,0.0099604,0.0099604
6,99.6024,1.52687,1.30516,1.21782,0.45556,0.43158,0.3588,0.16286,1.92948,inf,1.67109,0.0099505,0.0099505,0.0099505
7,115.277,1.53376,1.39901,1.21363,0.06331,0.09108,0.02742,0.01301,2.81894,1019.22,3.24458,0.0099406,0.0099406,0.0099406
8,131.073,1.50617,1.31556,1.23435,0.16843,0.57895,0.31203,0.12414,1.85093,1277.34,1.5077,0.0099307,0.0099307,0.0099307
9,146.62,1.52477,1.24893,1.25042,0.33503,0.52632,0.31004,0.1406,1.79246,30.3337,1.53539,0.0099208,0.0099208,0.0099208
10,162.085,1.49467,1.22765,1.25167,0.72271,0.67368,0.73351,0.40295,1.51682,7.34139,1.35252,0.0099109,0.0099109,0.0099109
11,177.624,1.45582,1.25088,1.21641,0.66007,0.72632,0.71503,0.40101,1.50768,39.9952,1.35341,0.009901,0.009901,0.009901
12,193.135,1.41956,1.11415,1.19855,0.58723,0.50526,0.52211,0.23534,2.45828,17.9573,2.1644,0.0098911,0.0098911,0.0098911
13,208.712,1.45955,1.10988,1.20231,0.54923,0.62848,0.60048,0.29315,2.68717,32.9523,2.86744,0.0098812,0.0098812,0.0098812
