epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.845,1.67308,11.6826,1.50504,0.02507,0.23158,0.02178,0.01033,1.77202,70.5986,1.75561,0.00058,0.00058,0.00058
2,35.7666,1.60886,1.86436,1.54606,0.00125,0.10526,0.00075,0.00028,3.71748,73.2949,7.4663,0.00117805,0.00117805,0.00117805
3,51.145,1.63956,1.49851,1.57575,0.00011,0.01053,1e-05,0,nan,nan,nan,0.00177413,0.00177413,0.00177413
4,66.2596,1.64717,1.4261,1.61079,0.00011,0.01053,1e-05,0,nan,nan,nan,0.0019901,0.0019901,0.0019901
5,81.7168,1.61626,1.39446,1.54503,0.24952,0.28421,0.1816,0.08144,2.63245,274.909,3.61446,0.0019868,0.0019868,0.0019868
6,97.3244,1.59603,1.28341,1.59663,0.64704,0.57895,0.6252,0.33425,1.62618,101.783,1.98816,0.0019835,0.0019835,0.0019835
7,113.054,1.53486,1.25663,1.49906,0.67682,0.50526,0.58925,0.35193,1.60017,115.446,1.99187,0.0019802,0.0019802,0.0019802
8,128.499,1.52231,1.195,1.51252,0.66684,0.611,0.68135,0.39338,1.7611,19.7163,2.08808,0.0019769,0.0019769,0.0019769
9,143.966,1.50311,1.14401,1.48368,0.71968,0.61053,0.68792,0.37959,2.10405,9.33176,2.3341,0.0019736,0.0019736,0.0019736
10,159.386,1.49061,1.14679,1.48207,0.8385,0.65585,0.72034,0.43187,1.49267,128.748,1.76622,0.0019703,0.0019703,0.0019703
11,174.84,1.47295,1.109,1.43902,0.84465,0.71579,0.84055,0.53134,1.58464,2.07606,1.90763,0.001967,0.001967,0.001967
12,190.31,1.44688,1.08871,1.43911,0.64992,0.72308,0.73195,0.40972,1.88526,4.75572,2.23946,0.0019637,0.0019637,0.0019637
13,205.683,1.43978,1.05155,1.39619,0.00029,0.02105,0.00017,3e-05,4.78862,5.75123,19.8223,0.0019604,0.0019604,0.0019604
14,221.069,1.44072,1.00242,1.43685,0.66278,0.68421,0.76135,0.4069,1.88624,35.875,2.08086,0.0019571,0.0019571,0.0019571
15,236.399,1.4046,0.95447,1.41054,0.71659,0.85171,0.83829,0.44392,1.93148,2.56538,2.04284,0.0019538,0.0019538,0.0019538
16,251.729,1.35146,0.92889,1.36205,0.81504,0.82105,0.84977,0.53907,1.54227,1.23816,1.88267,0.0019505,0.0019505,0.0019505
17,267.231,1.38783,0.99489,1.39087,0.81852,0.75962,0.85787,0.52413,1.43659,1.64938,1.72331,0.0019472,0.0019472,0.0019472
18,282.66,1.44537,1.04912,1.45089,0.77334,0.64649,0.75548,0.41172,1.75309,12.8101,1.86207,0.0019439,0.0019439,0.0019439
19,298.106,1.38692,0.96567,1.38514,0.72038,0.78947,0.80151,0.46741,1.55598,49.8661,1.72948,0.0019406,0.0019406,0.0019406
20,313.571,1.34154,0.94712,1.38875,0.85176,0.81053,0.88601,0.58377,1.67578,1.49343,1.91108,0.0019373,0.0019373,0.0019373
21,328.99,1.37855,0.92707,1.4009,0.5738,0.63774,0.63099,0.27039,2.30647,4.28765,2.25027,0.001934,0.001934,0.001934
22,344.367,1.33509,0.93209,1.34072,0.78502,0.76877,0.84837,0.55255,1.42941,59.6109,1.67551,0.0019307,0.0019307,0.0019307
23,359.72,1.35277,0.94165,1.40876,0.77605,0.8,0.87147,0.54699,1.60366,1.58578,1.81624,0.0019274,0.0019274,0.0019274
24,375.115,1.35627,0.94911,1.37981,0.82414,0.85263,0.89035,0.57287,1.46203,1.21302,1.73192,0.0019241,0.0019241,0.0019241
25,390.457,1.26971,0.9705,1.3191,0.83565,0.85637,0.88282,0.56656,1.37611,2.65373,1.6995,0.0019208,0.0019208,0.0019208
26,405.847,1.33043,0.88581,1.37766,0.81132,0.77895,0.84943,0.52919,1.63493,1.86152,1.93573,0.0019175,0.0019175,0.0019175
27,421.199,1.28438,0.87523,1.33582,0.85008,0.84211,0.87544,0.56362,1.5438,1.26185,1.7541,0.0019142,0.0019142,0.0019142
28,436.56,1.33327,0.91676,1.35181,0.71346,0.68421,0.75006,0.41018,1.85188,2.35784,1.98575,0.0019109,0.0019109,0.0019109
29,451.942,1.27714,0.87551,1.34491,0.55019,0.56653,0.57466,0.26351,2.22977,18.8629,2.25427,0.0019076,0.0019076,0.0019076
30,467.385,1.32919,0.89212,1.37058,0.74216,0.81808,0.83138,0.54661,1.40346,3.68066,1.6955,0.0019043,0.0019043,0.0019043
